hhid,today,coffee_farm_manager,survey_agreed,woredaname,kebele_def,farm_owner,coop_f,coop_m,edu_wh,edu_hw,gpslatitude_deidentified,gpslongitude_deidentified,farm_area_total,coffeefarm_area_total,num_coffee_fields,ao_ls_7,washed_arabica_production,trainings3,income_from_coffee_mod,coffeetrees
5270101,18-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,Yes,Yes,No Education,High School - Grade 9-10,5.7374259,38.444764,3,3,2,4,4500,1,100%,7500
5270102,22-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7387992,38.442906,3,3,3,2,4000,1,100%,7500
5270104,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7398616,38.445603,2,2,1,0,1500,1,>50%,5000
5270105,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7368228,38.44526,1,1,1,0,500,1,50%,2500
5270107,22-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7377631,38.445904,1,1,1,0,1000,1,50%,2500
5270108,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7377988,38.445988,2,2,2,2,2000,1,100%,5000
5270109,15-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7442748,38.446812,1,1,1,1,1000,1,50%,2500
5270110,15-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7443415,38.446911,2,2,2,2,2000,1,>50%,5000
5270111,15-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,Junior Secondary - Grade 7-8,5.7443005,38.446866,1,1,1,4,850,1,50%,2500
5270113,15-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7443067,38.446843,1,1,1,4,1300,0,50%,2500
5270114,22-Jun-20,Woman (wife),Yes,Kercha,Goromi,Both husband and wife equally,No,,No Education,,5.7378503,38.445988,3,3,3,0,2500,1,100%,7500
5270117,22-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7376534,38.445958,0.5,0.5,1,0,500,1,50%,1250
5270118,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7384397,38.443352,1,1,1,2,1000,1,50%,2500
5270120,16-Jul-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7363035,38.445962,3,3,3,2,3000,1,>50%,7500
5270126,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7390043,38.445012,1,1,1,0,1000,0,50%,2500
5270127,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.739011,38.445008,1,1,1,3,650,1,50%,2500
5270129,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7362567,38.444619,1,1,1,0,500,0,50%,2500
5270132,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7400009,38.445374,1,1,1,4,1000,1,50%,2500
5270133,25-Jun-20,Man (husband),Yes,Kercha,Goromi,Man (husband),,No,,High School - Grade 9-10,5.738383,38.443516,3,3,1,0,2500,1,100%,7500
5270134,25-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7392241,38.439202,2,2,2,4,2000,1,>50%,5000
5270136,23-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Junior Secondary - Grade 7-8,5.7388479,38.445103,4,4,4,2,3000,1,100%,10000
5270137,22-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,National exam + 2 years vocational - Grade 10+2,5.7374174,38.445218,1,1,3,0,1000,0,50%,2500
5270201,20-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.744795,38.44545,2,2,2,0,2000,1,>50%,5000
5270202,31-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,Yes,No Education,Basic informal education,5.7421619,38.446789,3,2.75,2,2,2750,1,>50%,6875
5270203,17-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7428662,38.449383,2.5,2.5,3,0,6000,1,>50%,6250
5270204,18-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7440912,38.44925,0.5,0.5,1,1,500,1,>50%,1250
5270205,26-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,Elementary - Grade 1-6,High School - Grade 9-10,5.7414576,38.447011,2.75,2.5,3,0,2500,1,>50%,6250
5270206,03-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7434269,38.446961,1,0.5,1,0,500,1,<25%,1250
5270207,22-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7417375,38.449223,1,1,1,1,1000,1,>50%,2500
5270208,21-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7441651,38.449299,0.5,0.5,1,0,500,1,50%,1250
5270209,19-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7447211,38.447163,2,2,1,1,2000,1,>50%,5000
5270210,03-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7430331,38.446625,1,0.5,1,0,750,1,<25%,1250
5270211,03-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7434398,38.447175,2,1,2,0,1000,1,<25%,2500
5270212,31-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Elementary - Grade 1-6,5.7433187,38.44938,2,2,1,0,2000,1,100%,5000
5270214,19-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7441808,38.446793,1,1,1,0,1000,1,>50%,2500
5270215,09-Jun-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7424494,38.448708,1,1,1,2,1000,1,>50%,2500
5270216,31-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7437836,38.446988,1.5,1,1,0,2000,1,>50%,2500
5270217,21-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.744775,38.445607,1,1,1,0,1500,1,>50%,2500
5270219,31-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7425133,38.448376,2,2,2,1,2750,1,>50%,5000
5270220,02-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,Junior Secondary - Grade 7-8,High School - Grade 9-10,5.7389652,38.444001,1,1,2,0,1000,0,>50%,2500
5270221,02-Apr-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,Basic informal education,5.7447511,38.450024,4,3,6,0,5200,0,50%,7500
5270225,27-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7426945,38.449093,2,1,2,1,1000,1,50%,2500
5270226,27-Mar-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7430097,38.449231,2,1,2,0,1200,1,>50%,2500
5270227,19-May-20,Man (husband),Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7442681,38.449997,1,1,2,0,1000,1,>50%,2500
5270228,15-May-20,Woman (wife),Yes,Kercha,Goromi,Woman (wife),No,,No Education,,5.7438075,38.447091,1,1,1,0,1000,1,>50%,2500
5270230,02-Apr-20,Both husband and wife equally,Yes,Kercha,Goromi,Both husband and wife equally,No,No,No Education,No Education,5.7444183,38.450051,2,2,2,2,2500,1,100%,5000
